ResponseId,Poet,condition,beautiful,imagery,inspiring,lyrical,meaningful,mood_emotion,moving,original,overall_quality,profound,rhyme,rhythm,sound,theme,witty,poem_ID,word_count,line_count,stanzas,four_line_stanzas,rhymes_binary,all_lines_rhyme,first_person,Frequency,Like poetry,College Major,Background in poetry,Age,Gender,Authorship,Discrimination Response,correct
R_02OuieTDzIB1LA5,Samuel Butler,human,4.0,4.0,4.0,5.0,5.0,4.0,4.0,6.0,5.0,4.0,3.0,6.0,5.0,5.0,4.0,4,88,12,3,yes,yes,yes,no,Less than once per year,Indifferent to poetry,"Other (math, history, philosophy, etc.)",I am not very familiar with poetry,51,Male,AI,,
R_033nCahcqekToEF,Samuel Butler,AI,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,6.0,5.0,3.0,6.0,5.0,5.0,6.0,4,88,12,3,yes,yes,yes,no,Less than once per year,Indifferent to poetry,"Other (math, history, philosophy, etc.)",I am familiar with multiple poets and genres of poetry,94,Female,AI,,
R_0Ce3lcCDqg6v2kV,Samuel Butler,human,4.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,6.0,4.0,2.0,4.0,4.0,5.0,7.0,4,88,12,3,yes,yes,yes,no,Less than once per year,Like poetry,I did not go to college/did not have a major,I am not very familiar with poetry,31,Male,AI,,
R_0GIEmXuT0F8Du1z,Samuel Butler,nothing,6.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,3.0,5.0,5.0,6.0,5.0,4,88,12,3,yes,yes,yes,no,A few times per month,Like poetry,"Other (math, history, philosophy, etc.)",I am familiar with multiple poets and genres of poetry,64,Female,AI,human,0.0
R_0MxZwKNbrjCuDU5,Samuel Butler,nothing,5.0,4.0,6.0,6.0,5.0,5.0,4.0,6.0,5.0,4.0,3.0,6.0,5.0,6.0,5.0,4,88,12,3,yes,yes,yes,no,A few times per year,Indifferent to poetry,"Other (math, history, philosophy, etc.)",I am not very familiar with poetry,69,Male,AI,human,0.0
R_0NET6a27b1iZOi5,Samuel Butler,nothing,2.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,2.0,3.0,5.0,5.0,3.0,5.0,4,88,12,3,yes,yes,yes,no,A few times per month,Like poetry,"Other (math, history, philosophy, etc.)",I am familiar with multiple poets and genres of poetry,55,Male,AI,AI,1.0
R_0NefRX2X8vcv1FD,Samuel Butler,human,6.0,6.0,6.0,7.0,7.0,6.0,6.0,7.0,7.0,6.0,3.0,7.0,6.0,6.0,6.0,4,88,12,3,yes,yes,yes,no,Less than once per year,Indifferent to poetry,"Other (math, history, philosophy, etc.)",I am not very familiar with poetry,65,Female,AI,,
R_0PXXfuYrLKEJmeJ,Samuel Butler,human,6.0,7.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,6.0,3.0,7.0,6.0,7.0,6.0,4,88,12,3,yes,yes,yes,no,A few times per week,Like poetry,"Other (math, history, philosophy, etc.)","I have read a lot of poetry, but have never written poetry",24,Male,AI,,
R_0UmuHRDr4sAK0rD,Samuel Butler,nothing,4.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,3.0,3.0,4.0,4.0,5.0,3.0,4,88,12,3,yes,yes,yes,no,Never,Dislike poetry,"Other (math, history, philosophy, etc.)",I am not very familiar with poetry,25,Female,AI,AI,1.0
R_0jOi3YZxz2xBWI9,Samuel Butler,AI,4.0,5.0,4.0,6.0,5.0,5.0,4.0,4.0,5.0,5.0,3.0,5.0,5.0,4.0,3.0,4,88,12,3,yes,yes,yes,no,A few times per year,Like poetry,"Other (math, history, philosophy, etc.)",I am not very familiar with poetry,51,Female,AI,,
